index_column,target_processed,predicted
12775,['xxtsart não recebi!  ainda xxend'],não recebi o produto xxend
10015,['xxtsart tatetudo xxend'],amei xxend
3419,['xxtsart deixou a desejar xxend'],o produto veio com defeito xxend
14430,['xxtsart péssimo produto! xxend'],não gostei xxend
7239,['xxtsart produto não chegou... já se passaram 2 meses. xxend'],nÃo comprem xxend
26150,['xxtsart maravilhosa xxend'],lindo xxend
14489,['xxtsart péssima entrega xxend'],nÃo recebi o produto xxend
16633,['xxtsart cuscuzeira enferrujada xxend'],produto falso xxend
25249,['xxtsart funciona xxend'],excelente xxend
10357,['xxtsart muito bom xxend'],muito bom xxend
17154,['xxtsart não compre xxend'],não gostei xxend
4363,['xxtsart ótima compra xxend'],gostei muito do produto xxend
10176,['xxtsart melhor que um helicópero xxend'],produto de boa qualidade xxend
17461,['xxtsart regular xxend'],gostei do produto xxend
8427,['xxtsart muito bom xxend'],bom produto xxend
8580,['xxtsart excelente xxend'],muito bom xxend
24285,['xxtsart gostei bastante! xxend'],excelente produto xxend
4858,['xxtsart não funciona xxend'],produto de qualidade xxend
10040,['xxtsart excelente xxend'],lindo xxend
22928,['xxtsart muito boa leitura xxend'],gostei muito do produto xxend
21103,['xxtsart insatisfação xxend'],não recebi o produto xxend
19198,['xxtsart bom produto xxend'],bom xxend
19758,['xxtsart gosto muito desse varal xxend'],muito bom xxend
15254,['xxtsart péssimo atendimento xxend'],não recebi o produto xxend
11470,['xxtsart propaganda enganosa xxend'],não gostei xxend
1252,['xxtsart melhor custo-benefício xxend'],Ótimo produto xxend
6996,['xxtsart recebi outro modelo xxend'],nao recebi o produto xxend
12173,"['xxtsart prático, mas pouco resistente xxend']",produto muito fraco xxend
4673,['xxtsart muito bom xxend'],gostei muito do produto xxend
20914,['xxtsart excelente livro. xxend'],muito bom xxend
15781,['xxtsart excelente qualidade. xxend'],produto muito bom xxend
13051,['xxtsart churrasqueira eletrica xxend'],excelente xxend
6881,['xxtsart perfeito xxend'],produto de boa qualidade xxend
6949,['xxtsart nao recebi! xxend'],nao recebi o produto xxend
9521,['xxtsart gostei muito xxend'],gostei muito do produto xxend
22625,['xxtsart adorei xxend'],excelente xxend
8017,['xxtsart ótima cadeirinha xxend'],gostei xxend
6941,['xxtsart não confere xxend'],não gostei do produto xxend
25934,['xxtsart por enquanto xxend'],bom xxend
23386,['xxtsart ótimo produto xxend'],muito bom xxend
10209,['xxtsart .uma das melhores aquisições que já fiz! xxend'],excelente xxend
17715,['xxtsart veio com defeito xxend'],produto com defeito xxend
20645,['xxtsart bom xxend'],excelente xxend
24032,['xxtsart fornos xxend'],gostei do produto xxend
9550,['xxtsart tv monitor veio com defeito no display. xxend'],produto com defeito xxend
21499,['xxtsart péssimo produto! xxend'],não gostei do produto xxend
4637,['xxtsart não recebi o produto completo xxend'],produto não funciona xxend
4854,['xxtsart super recomendo xxend'],amei xxend
19561,['xxtsart ótima serra para trabalhos não industriais xxend'],melhor custo benefício xxend
24114,['xxtsart avaliação xxend'],muito bom xxend
10320,['xxtsart lindo e confortável xxend'],muito bom xxend
18564,['xxtsart ótimo produto xxend'],Ótimo xxend
4892,['xxtsart muito bom o celular xxend'],muito bom xxend
7043,['xxtsart gostei muito! xxend'],amei xxend
16521,['xxtsart bom xxend'],bom xxend
22711,['xxtsart gostei xxend'],produto bom xxend
19856,['xxtsart tempo de amar xxend'],gostei muito do produto xxend
21833,"['xxtsart entrega uma semana atrasada, americanas uma vergonha xxend']",não gostei xxend
19216,['xxtsart meu neto adorou o jogo. xxend'],muito bom xxend
19963,['xxtsart muito bom! xxend'],excelente produto xxend
22355,['xxtsart telefone trava - câmera desfocaliza xxend'],não gostei do produto xxend
4164,['xxtsart ótimo xxend'],gostei muito do produto xxend
7941,['xxtsart muito bom... xxend'],gostei muito do produto xxend
14388,['xxtsart adorei xxend'],excelente produto xxend
5569,['xxtsart gostei xxend'],excelente xxend
4300,['xxtsart perfeito!!! xxend'],gostei do produto xxend
6269,"['xxtsart tramontina, qualidade sempre xxend']",excelente produto xxend
3818,['xxtsart gostei muito do produto xxend'],excelente xxend
12015,['xxtsart produto chegou xxend'],gostei muito do produto xxend
12234,['xxtsart tudo certo xxend'],muito bom xxend
18290,['xxtsart depilador ótimo xxend'],amei xxend
6254,['xxtsart não comprem xxend'],nÃo recebi o produto xxend
17144,['xxtsart detestei xxend'],não gostei do produto xxend
24214,['xxtsart ótimo produto xxend'],não gostei xxend
7350,['xxtsart no xxend'],não recebi o produto xxend
15183,['xxtsart otimo xxend'],adorei xxend
6238,['xxtsart arrependimento. xxend'],não recebi o produto xxend
6090,['xxtsart a imagem apresentada não corresponde às dimensões reais do produto! xxend'],não gostei xxend
11637,['xxtsart gostei xxend'],gostei do produto xxend
22415,['xxtsart perfume dolce e gabbana masculino clássico. xxend'],excelente produto xxend
24071,['xxtsart eu classifico tudo como excelente xxend'],bom xxend
25475,['xxtsart a mh afilhada adorou xxend'],gostei xxend
12647,['xxtsart shampoo the first xxend'],produto de qualidade xxend
9911,['xxtsart não funciona em todos os galões xxend'],bom produto xxend
8472,['xxtsart não compre o livro carreiras do ibama xxend'],o produto é lindo mas não é o produto xxend
18271,['xxtsart devolucao xxend'],veio quebrado xxend
3266,['xxtsart excelente xxend'],produto de qualidade xxend
666,['xxtsart batetia da samsung xxend'],produto excelente xxend
4188,['xxtsart está quente? pode comprar ar da gree!!! xxend'],muito bom xxend
17055,['xxtsart ótimo produto xxend'],produto muito bom xxend
10161,['xxtsart excelente produto !!! xxend'],excelente xxend
23161,['xxtsart muito bom xxend'],muito bom xxend
11314,['xxtsart ele chega onde vassouras e aspiradores não consegueme. xxend'],Ótimo produto xxend
23954,['xxtsart pequeno xxend'],produto é bom xxend
24340,['xxtsart amei xxend'],excelente xxend
21508,['xxtsart muito bom produto xxend'],muito bom xxend
21969,['xxtsart gaveta nao abre automaticamente xxend'],falsificado xxend
12891,['xxtsart muito bom xxend'],muito bom xxend
4777,['xxtsart ótimo e entrega rápida xxend'],muito bom xxend
3900,['xxtsart celular excelente xxend'],Ótimo produto xxend
23061,['xxtsart demora na entrega xxend'],não gostei xxend
13716,['xxtsart tempo e dinheiro perdido xxend'],nÃo comprem xxend
6981,['xxtsart confortável xxend'],gostei muito do produto xxend
6376,['xxtsart excelente xxend'],produto muito bom xxend
16907,['xxtsart razoável e inspirador xxend'],produto muito bom xxend
18777,['xxtsart adorei o produto xxend'],Ótimo produto xxend
18977,['xxtsart muito bom. xxend'],produto muito bom xxend
10160,['xxtsart razoável xxend'],não gostei do produto xxend
26329,['xxtsart jogo de lençol queen art premium xxend'],produto de péssima qualidade xxend
14124,['xxtsart telefone muito  bom xxend'],não gostei xxend
16282,['xxtsart o produto foi conforme eu esperava! xxend'],gostei muito do produto xxend
